"","tree","exo","biomass_mean","sem","response","SE","df","lower.CL","upper.CL",".group"
"1","Autumn Olive","Non-native",0.130361111111111,0.024827775113924,0.0748620590594217,0.0129324651846012,106.999999999993,0.0531537842911045,0.105436103211832," 12 "
"2","Barberry","Non-native",0.120119444444444,0.0291415406929599,0.0727148551801463,0.0125615344386152,107,0.0516292201358834,0.102411970391061," 1  "
"3","Beech","Native",0.145761111111111,0.0241957963283858,0.0951232672662544,0.0164326009412847,107,0.0675397082696087,0.133972091488569," 123"
"4","Burning Bush","Non-native",0.124238888888889,0.0297655223684969,0.0737877936651977,0.0127468851994342,107,0.0523910311454735,0.103923102388646," 12 "
"5","Honeysuckle","Non-native",0.187083333333333,0.0343365085216933,0.128823508860555,0.0222543377009563,107,0.0914676551464067,0.181435682467011,"   3"
"6","Musclewood","Native",0.139275,0.022349948821006,0.0993911637209758,0.0171698825897677,107,0.0705700129443834,0.139983018475499," 123"
"7","Shadbush","Native",0.145296296296296,0.0347861744655163,0.090277267031789,0.0180080762679691,107,0.0607914620292473,0.134064631293255," 123"
"8","Striped Maple","Native",0.117058333333333,0.0142184272203028,0.0894536886953147,0.0154531778743631,107,0.0635141770436776,0.125987028308585," 123"
"9","Sweet Birch","Native",0.180997222222222,0.0320401054449326,0.119207617646101,0.0205931867800187,107,0.0846401511503687,0.167892612568864,"  23"
"10","Witch-hazel","Native",0.166905555555556,0.0232766443827572,0.130484936734187,0.0225413503533256,107,0.0926473071613232,0.183775645900613,"   3"
