"","tree","exo","mean_carbon","sem","emmean","SE","df","lower.CL","upper.CL",".group"
"1","Autumn Olive","Non-native",51.2813504,0.33471521932489,51.2813504,0.47643742367742,341,49.2274078566076,53.3352929433924," 12"
"2","Barberry","Non-native",50.4648848033333,0.207941111693882,50.4648848033334,0.47643742367742,341,48.410942259941,52.5188273467258," 12"
"3","Beech","Native",51.5942370216667,0.372033734527089,51.5942370216667,0.476437423677422,341,49.5402944782743,53.6481795650591," 12"
"4","Burning Bush","Non-native",51.25777888,0.639137486822661,51.25777888,0.476437423677422,341,49.2038363366076,53.3117214233924," 12"
"5","Honeysuckle","Non-native",50.8563713391667,0.415670081137648,50.8563713391667,0.476437423677422,341,48.8024287957743,52.9103138825591," 12"
"6","Musclewood","Native",53.03959558,0.54243184598649,53.03959558,0.476437423677421,341,50.9856530366076,55.0935381233924," 1 "
"7","Shadbush","Native",48.70229489,0.64047036639493,48.70229489,0.550142549624341,341,46.3306063293448,51.0739834506553,"  2"
"8","Striped Maple","Native",50.9460646066667,0.335959314630369,50.9460646066667,0.476437423677421,341,48.8921220632743,53.0000071500591," 12"
"9","Sweet Birch","Native",50.7098919325,0.347841473753465,50.7098919325,0.476437423677421,341,48.6559493891076,52.7638344758924," 12"
"10","Witch-hazel","Native",52.2334252658333,0.761550716491764,52.2334252658334,0.476437423677422,341,50.179482722441,54.2873678092258," 1 "
