"","treatment","tree","response","SE","df","lower.CL","upper.CL",".group"
"2","control","Autumn Olive",0.0371744206877,0.00665476054187662,213.557179493693,0.0239112084040233,0.0577945509953219," a "
"1","bag","Autumn Olive",0.0748620590594169,0.0134013944937435,213.557179493771,0.0481525269959701,0.116386994333333,"  b"
"4","control","Barberry",0.0410574805134753,0.00743161532314596,220.728930837276,0.0262822716875074,0.0641389270363439," a "
"3","bag","Barberry",0.0727148551801464,0.0130170138527868,213.557179493725,0.0467714095906851,0.113048766546534,"  b"
"6","control","Beech",0.03224361686353,0.0057720751328831,213.557179493722,0.0207396330127195,0.0501286993749843," a "
"5","bag","Beech",0.0951232672662548,0.0170284446645677,213.557179493725,0.0611848745884451,0.147886810854331,"  b"
"8","control","Burning Bush",0.0408913495035414,0.00733524653762056,211.148914859665,0.0262771315380172,0.0636333711615977," a "
"7","bag","Burning Bush",0.0737877936651975,0.0132090854052707,213.557179493725,0.0474615415482556,0.114716848976387,"  b"
"10","control","Honeysuckle",0.0573847599093509,0.0102727044264652,213.557179493722,0.0369108362154339,0.089215282217771," a "
"9","bag","Honeysuckle",0.128823508860555,0.0230612767535333,213.557179493725,0.0828614329616567,0.200280104289591,"  b"
"12","control","Musclewood",0.086288526986725,0.0154468980009664,213.557179493722,0.0555022220518004,0.134151563924588," a"
"11","bag","Musclewood",0.0993911637209757,0.017792460038534,213.557179493725,0.0639300568855129,0.154522049675328," a"
"14","control","Shadbush",0.0403804305839989,0.00834696394234194,213.557179493722,0.024259454686703,0.0672141725857877," a "
"13","bag","Shadbush",0.0902772670317895,0.0186610464977587,213.557179493725,0.054236104893466,0.150268625645919,"  b"
"16","control","Striped Maple",0.0353296359028739,0.00632451730560809,213.557179493722,0.0227246120123505,0.0549264899374855," a "
"15","bag","Striped Maple",0.0894536886953147,0.0160135078595015,213.557179493725,0.0575381069384091,0.139072396486104,"  b"
"18","control","Sweet Birch",0.0458016288514449,0.00812722293431599,204.677442858824,0.0295706910383428,0.0709415009181021," a "
"17","bag","Sweet Birch",0.119207617646101,0.0213398927414859,213.557179493725,0.0766763310941428,0.185330412945964,"  b"
"20","control","Witch-hazel",0.0521150433118255,0.00943309111029021,220.728930837276,0.0333605888670657,0.081412763731959," a "
"19","bag","Witch-hazel",0.130484936734187,0.0233586964429886,213.557179493722,0.0839300911249783,0.202863102926593,"  b"
