tree_id,tree_id2,herbivore_reps,herbivore_average_n,herbivore_stdev_n,herbivore_average_c,herbivore_stdev_c,herbivore_average_ratio,spider_reps,spider_average_n,spider_stdev_n,spider_average_c,spider_stdev_c,spider_average_ratio
AB10,AB10B,3,10.23797456,0.249553673,49.91558159,1.18946715,5.688988828,1,12.58969295,,52.02617199,,4.819174983
AB11,AB11B,1,10.4672202,,47.69880092,,5.314251,1,12.45423816,,49.05986052,,4.593831954
AB12,AB12B,1,10.25901919,,48.91669317,,5.560543086,1,12.12178313,,52.64855186,,5.065075017
AB1,AB1B,1,8.903213501,,50.64284897,,6.633417056,1,10.29442883,,48.50837326,,5.495160949
AB2,AB2B,1,9.352546775,,50.57327305,,6.306046,1,10.27233505,,54.3535881,,6.170566034
AB3,AB3B,1,10.59820843,,52.21422577,,5.745427492,1,9.805076599,,55.21052551,,6.566543896
AB4,AB4B,1,10.55478191,,51.06008911,,5.641547718,1,11.56688213,,52.59023666,,5.302183779
AB5,AB5B,3,10.01070849,0.037761758,49.16367086,0.462575433,5.727427733,1,11.76576519,,50.5458374,,5.009924496
AB6,AB6B,1,9.689842224,,50.98849106,,6.136509569,3,11.11184597,0.335354275,52.73701859,1.886750677,5.534490935
AB7,AB7B,1,8.26277256,,48.45877838,,6.839315285,1,12.72851753,,48.795681,,4.470638152
AB8,AB8B,1,11.33856115,,48.86634858,,5.025946992,1,12.0214194,,49.22688384,,4.775430817
AB9,AB9B,1,9.268261333,,47.44002636,,5.969151649,3,9.607207836,0.436629094,53.42811553,0.953617041,6.497371436
AO10,AO10B,5,10.71712049,0.464785912,48.43607798,2.477967284,5.270045417,1,10.76769365,,51.55764653,,5.583883584
AO11,AO11B,1,10.9129126,,50.05502973,,5.349005055,5,10.62934217,0.611836425,54.37424385,2.117200695,5.971292147
AO12,AO12B,1,9.251453432,,43.80155496,,5.521353112,1,10.22963048,,54.75167915,,6.241708155
AO1,AO1B,1,11.39277363,,47.74710464,,4.887463588,1,10.94629574,,49.36320496,,5.258987436
AO2,AO2B,1,10.34116294,,52.6255938,,5.934629209,1,11.06716963,,49.58096367,,5.224495492
AO3,AO3B,1,9.569042206,,53.90907288,,6.569909005,1,11.29537487,,51.53673172,,5.320864342
AO4,AO4B,1,9.927257538,,49.55753326,,5.821653515,3,11.27740033,0.194430099,53.12240728,0.94723785,5.494886464
AO5,AO5B,1,9.93210125,,49.92225266,,5.861638046,1,11.31602955,,49.68446732,,5.120266041
AO6,AO6B,1,10.36634827,,46.22512436,,5.200178539,1,11.42747688,,51.01923752,,5.206544373
