branch_code,time_block,tree,treatment,leaf count,date,bug_count,morphospecies*,wet_mass_g
BY7C,1,Barberry,control,934,24-May,8,8,0.0279
AB9B,1,Beech,bag,422,24-May,21,15,0.0744
BB11C,1,Black Birch,control,453,24-May,18,9,0.0336
BY6B,1,Barberry,bag,772,24-May,29,15,0.1459
HS1C,1,Honeysuckle,control,551,24-May,17,12,0.1148
BY7B,1,Barberry,bag,777,24-May,22,13,0.0232
AB9C,1,Beech,control,273,24-May,21,13,0.0685
SM1C,1,Striped Maple,control,109,24-May,8,8,0.0055
BB11B,1,Black Birch,bag,496,24-May,18,14,0.0255
SM1B,1,Striped Maple,bag,90,24-May,11,7,0.0265
WH4B,1,Witch-hazel,bag,183,24-May,23,17,0.092
BB12C,1,Black Birch,control,876,24-May,13,12,0.03
HS2B,1,Honeysuckle,bag,890,24-May,23,20,0.0651
BY6C,1,Barberry,control,860,24-May,24,15,0.146
HS2C,1,Honeysuckle,control,896,24-May,22,17,0.0679
HS1B,1,Honeysuckle,bag,523,24-May,31,27,0.1174
MW2C,1,Musclewood,control,513,24-May,23,15,0.0364
BC4B,1,Black Cherry,bag,998,24-May,15,14,0.0202
AO1C,1,Autumn Olive,control,788,24-May,48,19,0.0358
AO1B,1,Autumn Olive,bag,724,24-May,50,28,0.2909
WE1B,1,Burning Bush,bag,1650,24-May,29,20,0.1176
BB12B,1,Black Birch,bag,654,24-May,22,14,0.113
WH3C,1,Witch-hazel,control,265,24-May,32,23,0.1082
BC4C,1,Black Cherry,control,905,24-May,26,9,0.1968
SM2B,1,Striped Maple,bag,165,24-May,52,29,0.0866
SM2C,1,Striped Maple,control,97,24-May,13,8,0.0248
WH4C,1,Witch-hazel,control,198,24-May,17,11,0.0162
BC5B,1,Black Cherry,bag,345,24-May,15,10,0.0103
AO8C,1,Autumn Olive,control,664,24-May,14,12,0.0309
BC5C,1,Black Cherry,control,466,24-May,2,2,
WE1C,1,Burning Bush,control,1281,24-May,24,12,0.0471
WE9C,1,Burning Bush,control,1696,24-May,16,14,0.0884
WH3B,1,Witch-hazel,bag,232,24-May,22,12,0.0706
MW1C,1,Musclewood,control,639,24-May,57,20,0.0859
WE9B,1,Burning Bush,bag,1415,24-May,32,17,0.071
AB1B,1,Beech,bag,290,24-May,12,10,0.0276
AB1C,1,Beech,control,371,24-May,12,11,0.0294
AO8B,1,Autumn Olive,bag,627,24-May,17,12,0.0129
MW1B,1,Musclewood,bag,1026,24-May,82,25,0.1542
MW2B,1,Musclewood,bag,431,24-May,32,21,0.0201
WH1C,1,Witch-hazel,control,187,26-May,15,9,0.0243
BB1B,1,Black Birch,bag,748,26-May,30,18,0.786
WH1B,1,Witch-hazel,bag,279,26-May,25,20,0.0726
WH2B,1,Witch-hazel,bag,175,26-May,31,18,0.0645
AO3C,1,Autumn Olive,control,1129,26-May,12,10,0.0133
MW4B,1,Musclewood,bag,575,26-May,24,20,0.0763
MW3B,1,Musclewood,bag,309,26-May,9,8,0.0154
AB10C,1,Beech,control,324,26-May,11,11,0.0427
MW4C,1,Musclewood,control,496,26-May,25,20,0.0964
AB10B,1,Beech,bag,367,26-May,17,11,0.0209
AO2C,1,Autumn Olive,control,580,26-May,22,12,0.0498
BB2B,1,Black Birch,bag,626,26-May,21,11,0.0798
WE7B,1,Burning Bush,bag,2721,26-May,25,22,0.0345
HS4B,1,Honeysuckle,bag,1091,26-May,21,18,0.1471
SM4B,1,Striped Maple,bag,146,26-May,72,11,0.0362
BY1B,1,Barberry,bag,719,26-May,25,17,0.0683
