"","branch_code","time_block","tree","treatment","arachnids","lepidoptera","diptera","coleoptera","hymenoptera","hemiptera","aquatics","gastropods","orthopterids","exo","guild"
"1","BY7C",1,"Barberry","control",1,1,0,3,0,2,0,0,0,"Non-native",1
"2","AB9B",1,"Beech","bag",9,4,0,1,1,5,0,0,0,"Native",9
"3","BB11C",1,"Sweet Birch","control",2,1,0,10,1,3,0,0,0,"Native",2
"4","BY6B",1,"Barberry","bag",10,1,1,1,1,14,0,0,0,"Non-native",10
"5","HS1C",1,"Honeysuckle","control",3,1,2,9,1,1,0,0,0,"Non-native",3
"6","BY7B",1,"Barberry","bag",8,0,1,0,4,8,0,0,1,"Non-native",8
"7","AB9C",1,"Beech","control",5,0,1,4,2,9,0,0,0,"Native",5
"8","SM1C",1,"Striped Maple","control",1,0,0,1,4,1,0,0,0,"Native",1
"9","BB11B",1,"Sweet Birch","bag",5,3,1,4,0,4,0,0,0,"Native",5
"10","SM1B",1,"Striped Maple","bag",2,1,0,0,1,3,0,0,0,"Native",2
"11","WH4B",1,"Witch-hazel","bag",4,2,0,8,3,2,3,0,0,"Native",4
"12","BB12C",1,"Sweet Birch","control",4,0,0,0,0,7,0,0,0,"Native",4
"13","HS2B",1,"Honeysuckle","bag",8,1,3,4,2,4,0,0,0,"Non-native",8
"14","BY6C",1,"Barberry","control",19,1,0,1,1,2,0,0,0,"Non-native",19
"15","HS2C",1,"Honeysuckle","control",6,0,0,7,0,6,0,0,0,"Non-native",6
"16","HS1B",1,"Honeysuckle","bag",6,0,4,7,3,7,0,0,0,"Non-native",6
"17","MW2C",1,"Musclewood","control",3,2,1,8,2,6,0,0,0,"Native",3
"18","BC4B",1,"Shadbush","bag",5,0,1,2,1,2,0,0,1,"Native",5
"19","AO1C",1,"Autumn Olive","control",7,1,3,4,2,7,0,0,0,"Non-native",7
"20","AO1B",1,"Autumn Olive","bag",6,1,9,5,3,20,1,0,0,"Non-native",6
