"","treatment","tree","branch_code","sum_wet_mass"
"1","bag","Autumn Olive","AO10B",0.6137
"2","bag","Autumn Olive","AO11B",0.3481
"3","bag","Autumn Olive","AO12B",0.1792
"4","bag","Autumn Olive","AO1B",0.5288
"5","bag","Autumn Olive","AO2B",0.0983
"6","bag","Autumn Olive","AO3B",0.2717
"7","bag","Autumn Olive","AO4B",0.1999
"8","bag","Autumn Olive","AO5B",0.9224
"9","bag","Autumn Olive","AO6B",0.8219
"10","bag","Autumn Olive","AO7B",0.1436
"11","bag","Autumn Olive","AO8B",0.3157
"12","bag","Autumn Olive","AO9B",0.2536
"13","bag","Barberry","BY10B",0.1874
"14","bag","Barberry","BY11B",0.6705
"15","bag","Barberry","BY12B",3.0762
"16","bag","Barberry","BY1B",0.5892
"17","bag","Barberry","BY2B",0.2649
"18","bag","Barberry","BY3B",0.1366
"19","bag","Barberry","BY4B",0.1133
"20","bag","Barberry","BY5B",0.4638
"21","bag","Barberry","BY6B",0.5714
"22","bag","Barberry","BY7B",0.1064
"23","bag","Barberry","BY8B",0.2211
"24","bag","Barberry","BY9B",0.2043
"25","bag","Beech","AB10B",0.4203
"26","bag","Beech","AB11B",0.2026
"27","bag","Beech","AB12B",0.0871
"28","bag","Beech","AB1B",0.6986
"29","bag","Beech","AB2B",0.457
"30","bag","Beech","AB3B",0.4737
"31","bag","Beech","AB4B",0.1385
"32","bag","Beech","AB5B",0.3212
"33","bag","Beech","AB6B",0.8019
"34","bag","Beech","AB7B",1.1075
"35","bag","Beech","AB8B",0.3222
"36","bag","Beech","AB9B",0.2168
"37","bag","Black Cherry","BC10B",0.8219
"38","bag","Black Cherry","BC11B",0.5687
"39","bag","Black Cherry","BC12B",0.4085
"40","bag","Black Cherry","BC1B",0.1918
"41","bag","Black Cherry","BC2B",0.269
"42","bag","Black Cherry","BC3B",0.1226
"43","bag","Black Cherry","BC4B",0.1259
"44","bag","Black Cherry","BC5B",0.2672
"45","bag","Black Cherry","BC6B",0.06482
"46","bag","Black Cherry","BC7B",0.3163
"47","bag","Black Cherry","BC8B",0.9371
"48","bag","Black Cherry","BC9B",0.4775
"49","bag","Burning Bush","WE10B",0.1295
"50","bag","Burning Bush","WE11B",0.4656
"51","bag","Burning Bush","WE12B",0.2859
"52","bag","Burning Bush","WE1B",0.3936
"53","bag","Burning Bush","WE2B",0.1609
"54","bag","Burning Bush","WE3B",0.1207
"55","bag","Burning Bush","WE4B",0.3548
"56","bag","Burning Bush","WE5B",0.2403
"57","bag","Burning Bush","WE6B",0.4039
"58","bag","Burning Bush","WE7B",1.0607
"59","bag","Burning Bush","WE8B",0.7438
"60","bag","Burning Bush","WE9B",0.1564
"61","bag","Honeysuckle","HS10B",0.3399
"62","bag","Honeysuckle","HS11B",0.6677
"63","bag","Honeysuckle","HS12B",7.7384
"64","bag","Honeysuckle","HS1B",0.4117
"65","bag","Honeysuckle","HS2B",0.3273
"66","bag","Honeysuckle","HS3B",0.1623
"67","bag","Honeysuckle","HS4B",0.9808
"68","bag","Honeysuckle","HS5B",0.4472
"69","bag","Honeysuckle","HS6B",0.4522
"70","bag","Honeysuckle","HS7B",0.5317
"71","bag","Honeysuckle","HS8B",0.9602
"72","bag","Honeysuckle","HS9B",0.5829
"73","bag","Musclewood","MW10B",1.0163
"74","bag","Musclewood","MW11B",0.6515
"75","bag","Musclewood","MW12B",0.1537
"76","bag","Musclewood","MW1B",0.2612
"77","bag","Musclewood","MW2B",0.4548
"78","bag","Musclewood","MW3B",0.2287
"79","bag","Musclewood","MW4B",0.3398
"80","bag","Musclewood","MW5B",0.4707
"81","bag","Musclewood","MW6B",0.4022
"82","bag","Musclewood","MW7B",0.2201
"83","bag","Musclewood","MW8B",0.2501
"84","bag","Musclewood","MW9B",0.5648
"85","bag","Striped Maple","SM10B",0.3054
"86","bag","Striped Maple","SM11B",0.5766
