"","branch_code","time_block","tree","treatment","date.x","bug_count","morphospecies","wet_mass_g","exo","X","arachnids","lepidoptera","diptera","coleoptera","hymenoptera","hemiptera","aquatics","gastropods","orthopterids","guild","date.y","gastropod_biomass","ï..tree_id","herbivore_reps","herbivore_average_n","herbivore_stdev_n","herbivore_average_c","herbivore_stdev_c","herbivore_average_ratio","spider_reps","spider_average_n","spider_stdev_n","spider_average_c","spider_stdev_c","spider_average_ratio"
"1","BB7C",1,"Sweet Birch","control","24-May",8,8,0.0279,"Native",163,1,0,0,5,0,7,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","AB9B",1,"Beech","bag","24-May",21,15,0.0744,"Native",2,9,4,0,1,1,5,0,0,0,9,NA,0,"AB9",1,9.268261333,NA,47.44002636,NA,5.969151649,3,9.607207836,0.436629094,53.42811553,0.953617041,6.497371436
"3","BB11C",1,"Sweet Birch","control","24-May",18,9,0.0336,"Native",3,2,1,0,10,1,3,0,0,0,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","BY6B",1,"Barberry","bag","24-May",29,15,0.1459,"Non-native",4,10,1,1,1,1,14,0,0,0,10,NA,0,"BY6",3,9.291707675,0.580930947,48.83229955,1.529464101,6.136847299,1,9.370064735,NA,50.05646896,NA,6.229935942
"5","HS1C",1,"Honeysuckle","control","24-May",19,12,0.1148,"Non-native",5,3,1,2,9,1,1,0,0,0,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","BY7B",1,"Barberry","bag","24-May",22,13,0.0232,"Non-native",6,8,0,1,0,4,8,0,0,1,8,NA,0,"BY7",1,10.21665764,NA,47.15603638,NA,5.382628609,1,9.456430435,NA,50.0669899,NA,6.174335314
"7","AB9C",1,"Beech","control","24-May",21,13,0.0685,"Native",7,5,0,1,4,2,9,0,0,0,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","SM1C",1,"Striped Maple","control","24-May",8,8,0.0055,"Native",8,1,0,0,1,4,1,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","BB11B",1,"Sweet Birch","bag","24-May",18,14,0.0255,"Native",9,5,3,1,4,0,4,0,0,0,5,NA,0,"BB11",1,10.51389437,NA,47.79775283,NA,5.301635081,1,10.61586038,NA,49.32879601,NA,5.418901777
"10","SM1B",1,"Striped Maple","bag","24-May",11,7,0.0265,"Native",10,2,1,0,0,1,3,0,0,0,2,NA,0,"SM1",1,10.62825108,NA,45.42864227,NA,4.984641323,1,10.32615089,NA,51.58982849,NA,5.82628304
"11","WH4B",1,"Witch-hazel","bag","24-May",23,16,0.092,"Native",11,4,2,0,8,3,2,3,0,0,4,NA,0,"WH4",1,9.141055531,NA,47.37042714,NA,6.043338424,1,10.00316037,NA,47.6221184,NA,5.551846378
"12","BB12C",1,"Sweet Birch","control","24-May",12,9,0.03,"Native",12,4,0,0,0,0,7,0,0,0,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","HS2B",1,"Honeysuckle","bag","24-May",22,19,0.0651,"Non-native",13,8,1,3,4,2,4,0,0,0,8,NA,0,"HS2",1,10.18101788,NA,48.70880127,NA,5.579331979,1,11.16391754,NA,50.82607651,NA,5.30928364
"14","BY6C",1,"Barberry","control","24-May",24,15,0.146,"Non-native",14,19,1,0,1,1,2,0,0,0,19,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","HS2C",1,"Honeysuckle","control","24-May",22,17,0.0679,"Non-native",15,6,0,0,7,0,6,0,0,0,6,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
