branch_code,time_block,tree,treatment,arachnids,lepidoptera,diptera,coleoptera,hymenoptera,hemiptera,aquatics,gastropods,orthopterids
BY7C,1,Barberry,control,1,1,0,3,0,2,0,0,0
AB9B,1,Beech,bag,9,4,0,1,1,5,0,0,0
BB11C,1,Black Birch,control,2,1,0,10,1,3,0,0,0
BY6B,1,Barberry,bag,10,1,1,1,1,14,0,0,0
HS1C,1,Honeysuckle,control,3,1,2,9,1,1,0,0,0
BY7B,1,Barberry,bag,8,0,1,0,4,8,0,0,1
AB9C,1,Beech,control,5,0,1,4,2,9,0,0,0
SM1C,1,Striped Maple,control,1,0,0,1,4,1,0,0,0
BB11B,1,Black Birch,bag,5,3,1,4,0,4,0,0,0
SM1B,1,Striped Maple,bag,2,1,0,0,1,3,0,0,0
WH4B,1,Witch-hazel,bag,4,2,0,8,3,2,3,0,0
BB12C,1,Black Birch,control,4,0,0,0,0,7,0,0,0
HS2B,1,Honeysuckle,bag,8,1,3,4,2,4,0,0,0
BY6C,1,Barberry,control,19,1,0,1,1,2,0,0,0
HS2C,1,Honeysuckle,control,6,0,0,7,0,6,0,0,0
HS1B,1,Honeysuckle,bag,6,0,4,7,3,7,0,0,0
MW2C,1,Musclewood,control,3,2,1,8,2,6,0,0,0
BC4B,1,Black Cherry,bag,5,0,1,2,1,2,0,0,1
AO1C,1,Autumn Olive,control,7,1,3,4,2,7,0,0,0
AO1B,1,Autumn Olive,bag,6,1,9,5,3,20,1,0,0
WE1B,1,Burning Bush,bag,7,0,4,11,3,1,0,0,0
BB12B,1,Black Birch,bag,5,0,0,5,0,5,0,0,0
WH3C,1,Witch-hazel,control,3,0,2,13,8,1,2,0,1
BC4C,1,Black Cherry,control,1,1,0,1,2,8,0,0,1
SM2B,1,Striped Maple,bag,9,1,3,13,10,6,3,0,3
SM2C,1,Striped Maple,control,1,0,1,6,1,3,0,0,0
WH4C,1,Witch-hazel,control,5,1,0,1,4,0,5,0,1
BC5B,1,Black Cherry,bag,7,0,0,1,4,0,0,0,0
AO8C,1,Autumn Olive,control,7,1,0,1,0,2,0,0,0
BC5C,1,Black Cherry,control,1,1,0,0,0,0,0,0,0
WE1C,1,Burning Bush,control,2,0,1,5,14,1,0,0,0
WE9C,1,Burning Bush,control,7,0,0,2,3,3,0,0,0
WH3B,1,Witch-hazel,bag,5,1,0,10,3,1,0,0,0
MW1C,1,Musclewood,control,6,1,1,10,7,29,0,0,1
WE9B,1,Burning Bush,bag,11,1,0,1,15,1,2,0,0
AB1B,1,Beech,bag,3,1,1,2,1,0,2,0,0
AB1C,1,Beech,control,6,0,0,4,0,2,0,0,0
AO8B,1,Autumn Olive,bag,3,0,0,2,8,1,2,0,0
MW1B,1,Musclewood,bag,12,1,1,24,2,34,4,0,3
MW2B,1,Musclewood,bag,10,1,2,6,3,8,0,0,0
WH1C,1,Witch-hazel,control,1,0,1,2,8,0,0,0,0
BB1B,1,Black Birch,bag,12,0,1,1,1,15,0,0,0
WH1B,1,Witch-hazel,bag,11,0,3,4,1,4,2,0,0
WH2B,1,Witch-hazel,bag,5,1,5,9,1,7,0,0,0
AO3C,1,Autumn Olive,control,3,1,0,4,1,1,0,0,0
MW4B,1,Musclewood,bag,5,0,3,7,2,3,2,0,0
MW3B,1,Musclewood,bag,4,0,0,3,0,1,2,0,0
AB10C,1,Beech,control,2,1,0,3,0,2,0,0,1
MW4C,1,Musclewood,control,5,1,2,8,4,3,2,0,0
AB10B,1,Beech,bag,3,1,1,1,2,8,0,0,0
AO2C,1,Autumn Olive,control,5,0,2,3,1,10,0,0,0
BB2B,1,Black Birch,bag,2,0,1,4,3,7,1,0,0
WE7B,1,Burning Bush,bag,9,2,2,4,0,2,0,0,0
HS4B,1,Honeysuckle,bag,10,1,1,0,1,5,2,0,0
SM4B,1,Striped Maple,bag,10,0,0,3,0,57,0,0,1
BY1B,1,Barberry,bag,8,0,3,4,2,5,0,0,0
AB11B,1,Beech,bag,5,1,0,3,0,1,0,0,0
BC6C,1,Black Cherry,control,0,1,0,0,2,3,0,0,1
BB1C,1,Black Birch,control,2,0,5,3,0,12,0,0,0
BC7C,1,Black Cherry,control,1,2,1,0,0,3,0,0,0
BC6B,1,Black Cherry,bag,4,4,0,0,1,3,0,0,0
AO3B,1,Autumn Olive,bag,7,1,0,23,15,15,0,0,1
AB11C,1,Beech,control,1,1,0,3,0,4,0,0,0
MW3C,1,Musclewood,control,3,0,0,3,2,5,0,0,1
WE8B,1,Burning Bush,bag,10,1,0,2,4,6,0,0,0
HS4C,1,Honeysuckle,control,8,0,0,3,0,1,0,0,0
WE7C,1,Burning Bush,control,3,2,1,2,0,5,0,0,0
WE8C,1,Burning Bush,control,11,0,2,2,1,4,0,0,0
HS3B,1,Honeysuckle,bag,3,2,0,1,1,1,0,0,0
WH2C,1,Witch-hazel,control,3,0,2,3,3,2,0,0,0
SM4C,1,Striped Maple,control,2,0,1,0,1,14,2,0,0
BY1C,1,Barberry,control,16,0,1,1,0,5,0,0,0
AO2B,1,Autumn Olive,bag,5,0,0,5,0,1,0,0,0
BY2C,1,Barberry,control,4,0,0,3,0,1,0,0,0
BC7B,1,Black Cherry,bag,5,2,1,1,4,10,0,0,0
SM3C,1,Striped Maple,control,2,1,0,1,1,5,0,0,0
